,순위,책이름,저자,줄거리
32,33,빨강 머리 앤,루시 모드 몽고메리,"“마릴라 아주머니, 내일은 아직 아무 실수도 저지르지 않은 새로운 날이에요!”“내 보증하마. 앤, 넌 내일도 실수를 수두룩이 저지를 거야.”사랑스러운 사고뭉치 ‘앤 셜리’의 명랑하고 엉뚱한 성장소설TV 애니메이션 원화와 함께 읽는 「더모던 감성클래식」 두 번째 이야기, 『빨강 머리 앤』“앨리스 이래 가장 사랑스러운 아이”라는 마크 트웨인의 말마따나, 역대 최강의 러블리 캐릭터 ‘앤 셜리’ 이야기의 첫 권인 『빨강 머리 앤』(원제: 초록 지붕 집의 앤 Anne of Green Gables)이다. “주근깨 빼빼 마른~ 빨강 머리~”라는 주제곡이 절로 흥얼거려질 만큼 유명한 동명의 TV 애니메이션 원화를 ‘만화책’처럼 구성해 넣은 삽화 덕분에, 긴 분량의 완역.."
33,34,레베카,대프니 듀 모리에,앨프리드 히치콕의 영화 [레베카]와 미하엘 쿤체 뮤지컬 [레베카]를 탄생시킨 불멸의 원작『레베카』 초판 출간 80주년 기념판20세기의 가장 영향력 있는 소설 가운데 하나. 영국 문화라는 직물 위에 아름다운 환상과 불안으로 가득한 꿈을 교차시켜 독특한 무늬를 수놓았다. 놀라우리만큼 매혹적인 작품이다. _세라 워터스『자메이카 여인숙』 『나의 사촌 레이첼』 등 로맨스와 서스펜스의 경계를 넘나드는 걸작들로 수십 년간 전 세계 미스터리 독자를 사로잡아온 ‘20세기 영국 최고의 이야기꾼’ 대프니 듀 모리에. 그녀의 다섯 번째 소설이자 명실상부한 대표작인 『레베카』가 출간 80주년을 맞았다. 1938년 8월 첫선을 보인 『레..
34,35,모스크바의 신사,에이모 토울스,"세련되고 우아한 태도, 인간적 매력으로 무장한 채 메트로폴 호텔을 찾는 사람들의 마음을 사로잡는 백작!버락 오바마 전 미국 대통령이 2017년 추천도서로 소개해 화제가 된 에이모 토울스의 소설 『모스크바의 신사』. 40대의 다소 늦은 나이에 첫 장편소설 《우아한 연인》을 발표하며 고전 문학을 연상시키는 작풍, 현대적이고 세련된 분위기, 매력 있는 등장인물을 잘 접목시킨 작품으로 상업적 성공과 문학적 성취를 모두 이뤄내며 괴물 신인으로 주목받은 저자가 4년 만에 발표한 두 번째 소설이다.두 번의 혁명 이후 1920년대 러시아, 서른세 살의 알렉산드로 로스토프 백작은 모스크바의 메트로폴 호텔을 벗어날 경우 총살형에 처한다는 종신 연금형을 선고받는다. 프롤레타리아의 시대에서 제거되어야 마땅한 신분이지만 혁명에 동.."
35,36,갈매기의 꿈,리처드 바크,"“가장 높이 나는 새가 가장 멀리 본다.”새로운 결말, 새로운 번역!45년 만에 완결된 최종판!1970년에 발표된 이래 전 세계 40여 개의 언어로 번역되어 4,000만 부 이상이 팔린 리처드 바크의 우화소설, 세대를 넘어 수많은 독자들에게 가슴 뭉클한 감동을 안겨준 최고의 베스트셀러 『갈매기의 꿈(Jonathan Livingston Seagull)』이 개정증보판으로 새롭게 번역 출간되었다.2003년 시인 류시화의 번역으로 국내에 처음 정식 출간되어 많은 사랑을 받아온 우화소설의 고전이 45년 만에 작가의 미공개 원고를 추가해 베테랑 전문번역가 공경희 씨의 언어로 옷을 갈아입고 완전히 새롭게 태어난 것이다."
36,37,인간 실격,다자이 오사무,“겁쟁이는 행복조차도 두려워하는 것입니다.”문학을 뛰어넘은 다자이 오사무의 자기 고백전후 일본 문학사에 1천만 부 판매라는 놀라운 기록을 남긴 《인간 실격》이 2018년 다자이 오사무 사후 70주년 기념 특별판으로 새롭게 출간되었다. 1948년 다자이 오사무가 강물에 몸을 던져 죽은 같은 해에 출간된 이래로 다양한 판본으로 독자들에게 소개되어온 《인간 실격》은 주인공 요조가 스스로 화자가 되어 자신의 부끄럼 많은 일생을 풀어놓는 수기 형식의 소설이다. 솜에도 상처를 입고 행복조차 두려워하는 어릿광대 요조를 통해 다자이 오사무는 자신이 보였던 두려움과 증오가 사실은 영혼의 가장 밑바닥에서 인간을 향한 참된 구애이자 신을 찾는 호소임을 고백한다. 《인간 실격》은 다자이 오사무가 처음으로 자신만을 위해 쓴 작품이..
37,38,멋진 신세계,올더스 헉슬리,"디스토피아 소설의 대표적인 작품!시의성이 있는 책, 오래 사랑받은 고전 작품을 선정하여 독자들에게 선보이는 「에디터스 컬렉션」 제2권 『멋진 신세계』. 올더스 헉슬리의 대표작으로 20세기 기계문명의 발달과 과학의 진보가 전체주의 사상과 밀착될 때 어떤 비극이 초래될 수 있는가를 보여주는 작품이다.저자는 오늘날 우리가 당연하게 여기고 있는 기계문명이 극한까지 발달하고 인간 스스로가 발명한 과학의 성과 앞에 노예로 전락하여, 마침내 모든 인간 가치와 존엄성을 상실하는 지경에 도달하는 비극을 예언한다. 그리고 희생이 뒤따르지 않는 진보는 결코 가능하지 않다는 저자의 주장은 그의 역사관과 문명관의 핵심을 이루면서 기계문명의 발달에 도취된 현대인들을 통렬히 공격한다."
38,39,나무를 심은 사람,장 지오노,"폐허의 땅에 끊임없이 나무를 심은 한 노인이 만들어낸 기적!전 세계 25개 언어로 번역된 세계적인 베스트셀러문학적 향기와 메시지가 어우러진, 한 편의 탁월한 우화!문명과 환경의 심각한 위기 속에서 우리가 나아가야 할 방향을 가르쳐주고, 사람과 세상을 변화시키는 감동적이고 가슴 따듯한 소설! 국내 대표적인 삽화가 최수연의 아름다운 컬러 삽화로 다시 펴낸 개정판이다. 이 소설은 ‘희망을 심고 행복을 가꾼’ 한 사람이 메마르고 황폐한 땅에 홀로 수십 년 동안 나무를 심어 황무지를 생명이 살아 숨쉬는 숲으로 바꾸어놓는 이야기로, 작가가 자신의 경험을 바탕으로 첫 원고를 쓴 뒤 20여 년 동안 다듬어 완성한 작품이다. 1953년 처음 발표된 이래 지금까지 25개 언어로 번역되어 세계적으로 널리 읽히고 있다. 이토록 .."
39,40,파친코 1,이민진,"어디에도 속하지 못했던 자이니치들의 분노와 슬픔에서 탄생한 대작!한국계 1.5세인 미국 작가 이민진의 장편소설 『파친코』 제1권. 내국인이면서 끝내 이방인일 수밖에 없었던 자이니치(재일동포)들의 처절한 생애를 깊이 있는 필체로 담아낸 작품이다. 저자가 자이니치, 즉 재일동포의 존재를 처음 접한 것은 대학생이었던 1989년, 일본에서 자이니치들을 만났던 개신교 선교사의 강연을 들은 때였다. 상승 욕구가 강한 재미동포들과 달리 많은 자이니치들이 일본의 사회적, 경제적 사다리 아래쪽에서 신음하고 있다는 사실을 알게 된 저자는 그때부터 자이니치에 관해 관심을 가지게 되었고 이번 작품에서 제강점기부터 1980년대까지를 시대적 배경으로 하여 4대에 걸친 핏줄의 역사를 탄생시켰다.삶은 모두에게나 고통이지만 일제강점기에 .."
40,41,파친코 2,이민진,"어디에도 속하지 못했던 자이니치들의 분노와 슬픔에서 탄생한 대작!한국계 1.5세인 미국 작가 이민진의 장편소설 『파친코』 제2권. 내국인이면서 끝내 이방인일 수밖에 없었던 자이니치(재일동포)들의 처절한 생애를 깊이 있는 필체로 담아낸 작품이다. 저자가 자이니치, 즉 재일동포의 존재를 처음 접한 것은 대학생이었던 1989년, 일본에서 자이니치들을 만났던 개신교 선교사의 강연을 들은 때였다. 상승 욕구가 강한 재미동포들과 달리 많은 자이니치들이 일본의 사회적, 경제적 사다리 아래쪽에서 신음하고 있다는 사실을 알게 된 저자는 그때부터 자이니치에 관해 관심을 가지게 되었고 이번 작품에서 제강점기부터 1980년대까지를 시대적 배경으로 하여 4대에 걸친 핏줄의 역사를 탄생시켰다.삶은 모두에게나 고통이지만 일제강점기에 .."
41,42,원더,R. J. 팔라시오,"헬멧을 벗고 세상 밖으로 나온 소년, 어거스트!어린이, 청소년을 위한 동화 《아름다운 아이》로 출간되어 많은 사랑을 받았던 『원더』를 성인 독자들을 위한 양장 특별판으로 선보인다. 영화 《원더》의 원작소설로, 선천적 안면기형을 갖고 태어나 헬멧 속에 자신을 숨겼던 열 살 소년 어거스트가 처음으로 학교에 들어간 후 겪는 1년간의 사건사고를 통해 세상의 편견에 맞서며 진짜 자신을 마주하는 용기를 전한다.태어났을 때는 하룻밤도 넘기기 힘들다는 말을 들었지만 열 살이 될 때까지 스물일곱 번의 수술을 받으면서 꿋꿋이 살아남은 어거스트. 선천적 안면기형인 얼굴을 제외하고는 가족의 풍부한 사랑을 받으며 자란 평범한 소년이다. 그런 어거스트에게 커다란 변화가 찾아온다. 언제나 부모의 보호 속에서만 자라게 할 수 없다는 엄.."
42,43,또다시 같은 꿈을 꾸었어,스미노 요루,"<너의 췌장을 먹고 싶어>의 작가 스미노 요루가 지친 사람들에게 전하는 다정하고 따스한 이야기. 자타공인 똑똑하고 당돌한 소녀 고야나기 나노카는 학교 안에는 이렇다 할 친구가 없지만 학교 밖에는 친구가 많다. 까칠하고 도도하며 꼬리가 반으로 잘린 고양이 ‘그녀’, 예쁘고 상냥하며 함께 오셀로 게임을 해주는 언니 아바즈레 씨. 그리고 항상 맛난 과자를 구워주고 함께 소설 이야기를 하는 할머니. 그리고 버려진 집 옥상에서 마주친 고등학생 미나미 언니.학교 수업 연구 주제인 ‘행복이란 무엇인가’를 친구들과 함께 생각하며 하루하루 즐거운 시간을 보내던 나노카. 그러던 어느날, 옆자리 짝꿍 키류가 학교에 나오지 않기 시작한다. 그림을 좋아하지만 놀림받을까봐 늘 그림 실력을 숨기는 소심한 키류. 나노카가 키.."
43,44,섬에 있는 서점,개브리얼 제빈,"세상을 연결하는 동네의 작은 서점 이야기!동네서점을 배경으로 펼쳐지는 책과 사랑의 이야기를 담은 지적인 로맨스, 스릴러를 닮은 반전, 따뜻한 비밀을 품고 있는 소설 『섬에 있는 서점』. 서점주인, 출판사 영업사원, 편집자, 독자이자 이웃인 사람들, 그리고 작가까지 책이 지나가는 길목에 있는 모든 종류의 사람이 주역으로든 단역으로든 등장하며 10여 년에 걸쳐 진행되는 이야기를 담고 있다.섬에 있는 작은 서점 ‘아일랜드 북스’의 주인 피크리는 얼마 전 사고로 아내를 잃고 혼자 산다. 성격도 까칠한데다 책 취향까지 까탈스러워, 그러잖아도 어려운 서점 운영은 더 어려워져만 간다. 책방을 접을까도 생각하지만 불행한 사건이 생기면서 그마저 여의치 않다. 그러던 어느 날, 서점에 놀라운 꾸러미 하나가 도착하면서 그의 삶.."
44,45,노르웨이의 숲,무라카미 하루키,"“나를 언제까지나 잊지 마, 내가 여기 있었다는 걸 기억해 줘.”하루키 월드의 빛나는 다이아몬드무라카미 하루키를 만나기 위해 가장 먼저 읽어야 할 책!페이지를 처음 펼치는 오늘의 젊음들에게, 그리고 오랜 기억 속에 책의 한 구절을 간직하고 있는 어제의 젊음들에게, 한결같은 울림으로 예민하고 섬세한 청춘의 감성을 전하며 영원한 필독서로 사랑받고 있는 무라카미 하루키의 대표작 『노르웨이의 숲』. 1989년 『상실의 시대』라는 제명으로 처음 출간된 이래 우리 출판 사상 최장기 베스트셀러를 기록하며 하나의 사건으로 남은 소설, 『노르웨이의 숲』이 민음사 세계문학전집에 이어 단행본으로 출간되었다. 1960년대 말 고도성장기 일본을 배경으로, .."
45,46,기사단장 죽이기 1,무라카미 하루키,"밤의 어둠 속에서 들려오는 방울소리, 그 어둠 속에서 모습을 드러낸 기사단장!무라카미 하루키가 7년 만에 선보인 본격 장편소설 『기사단장 죽이기』제1권. ‘이것이 하루키다!’라고 말할 수 있는 요소가 전부 담겨 있다는 평을 들으며 일본 출간 당시 130만 부 제작 발행으로 화제가 되었던 작품이다. 저자가 지금까지 구축해온 작품세계를 다양하게 변주하며 현세대 독자에게 던지는 메시지이자 한 사람의 예술가로서 내면 깊은 곳까지 내려가 농축한 결과물이다.저자가 작가생활 초기에 주로 썼던 일인칭 시점으로 돌아와 그 매력이 한층 짙게 느껴지는 이 소설은 현실과 비현실이 절묘하게 융합된 하루키 월드의 결정판으로도 볼 수 있다. 오페라, 클래식, 재즈, 올드 팝까지 여러 장르의 음악을 적재적소에 배치해 인물의 심상을 대변.."
46,47,오두막,윌리엄 폴 영,"100쇄 기념 리커버 특별판 윌리엄 폴 영의 소설 『오두막』. 이 책의 작가 윌리엄 폴 영은 그의 여섯 자녀에게 줄 크리스마스 선물로 이 책을 썼고, 완성된 초고를 15부 복사해 자녀들, 그리고 친분이 있는 사람들에게 선물했다. 원고를 읽고 감동받은 주변 사람들의 강한 권유로 출판사를 찾기 시작했다. 여러 이유로 원고를 계속 퇴짜를 맞은 폴 영은 평소 친분이 있던 목사 두 명과 함께 2007년 직접 책을 펴냈고, 웹사이트를 열어 책을 판매했다. 이 소설은 맥 필립스에게 일어나는 이야기이다. 맥의 막내 딸 미시는 가족 캠핑 중에 유괴된다. 딸의 시체는 발견되지 않았지만, 경찰은 버려진 숲속 오두막에서 아이들만 노리는 악명 높은 연쇄살인범에 의해 잔혹하게 살해된 증거를 찾아낸다. 그로부터 4년 뒤, ‘거대한 슬.."
47,48,동급생,프레드 울만,"프레드 울만의 작은 걸작 『동급생』 드디어 출간나치즘과 홀로코스트의 시대를 다룬 소설 중에서 가장 유명하고 지금까지 널리 읽히는 책의 하나인 『동급생』이 열린책들에서 출간되었다. 『동급생』은 1930년대 독일 슈투트가르트를 배경으로 유대인 소년과 독일 귀족 소년의 우정을 그린 프레드 울만의 소설이다. 작가 아서 케스틀러가 [작은 걸작]이라 평가하며 찬사를 아끼지 않았고, 아카데미 프랑세즈 회원이자 『르 피가로』 주필이었던 장 도르메송이 [눈물을 펑펑 쏟으며 울었다]고 고백한 바 있다.이 작품은 사춘기 두 소년이 우정을 형성해 가는 과정을 생동감 있게 묘사했다. 독일 서남부 지역의 아름다운 풍경 속에서 펼쳐지는 두 소년의 우정 이야기는 히틀러와 나치즘이 대두하는 시대.."
48,49,여름은 오래 그곳에 남아,마쓰이에 마사시,"제64회 요미우리문학상 수상작! 일본문단의 정통성을 잇는 거물 신인 마쓰이에 마사시의 놀라운 데뷔작! ‘국경의 긴 터널을 빠져나오자 눈의 고장이었다’(가와바타 야스나리,《설국》에서)만큼 아름다운 첫 소절이 또 있을까. 다자이 오사무의 고백하듯 담담한 독백체만큼 몰입도 좋은 문장이 또 있을까. 가와바타 야스나리의 강렬한 묘사, 다자이 오사무의 깊은 사색, 거기에 마루야마 겐지의 선 굵은 뚝심과 무라카미 하루키의 스타일리시한 여백까지 갖추었다고 평가되는, 일본 현대문학사에 길이 남을 작품이 등장했다. 오랜 편집자 생활을 뒤로하고 늦깎이 작가로 데뷔한 거물 신인 ‘마쓰이에 마사시’의 《여름은 오래 그곳에 남아》가 그 주인공이다. 인간을 격려하고 삶을 위하는 건축을 추구하는 노건축가.."
49,50,앨리스 죽이기,코바야시 야스미,"현실과 꿈속, 두 세계에 남겨진 연쇄살인의 단서를 찾아라!꿈과 현실 사이를 오가며 연쇄살인마를 추적하는 과정을 그린 고바야시 야스미의 미스터리 소설 『앨리스 죽이기』. 세심한 규칙과 논리적 설정으로 미스터리의 틀을 충분히 갖추고 있으면서도 호러소설의 실력자다운 잔혹 묘사를 더해 일반적인 미스터리와 다른 묘한 분위기를 느낄 수 있게 하는 저자만의 특징에서 한 걸음 더 나아가 세계적 고전 《이상한 나라의 앨리스》와의 접목을 시도한 작품이다.앨리스가 도마뱀 빌과 잡담을 나누고 있을 때 달걀 험프티 덤프티가 여왕의 정원 담 위에서 추락사한다. 3월 토끼와 미치광이 모자 장수는 살인사건이라며 호들갑을 떨어대고, 앨리스는 사건 현장에서 그녀를 보았다는 목격자 흰토끼의 증언 때문에 용의자로 몰린다. 한편 3월 토끼와 모.."
50,51,필사의 힘,생텍쥐페리,"지친 마음을 치유하고 문장력까지 길러 주는 필사 라이팅북, 연필이나 펜으로 내가 꼭 써 보고 싶었던 명작을 나만의 작품으로 만들 수 있는 책 '월드 클래식 라이팅 북' 시리즈. 시리즈의 첫 번째 책은 전 세계인들이 가장 사랑하고 꼭 써 보고 싶은 생텍쥐페리의 <어린 왕자>이다. 생텍쥐페리의 문장을 가만히 곱씹으며 따라 쓰다 보면 작가가 어떤 마음으로 그와 같이 뛰어난 문장을 쓰게 되었는지 이해할 수 있을 것이다."
51,52,앵무새 죽이기,하퍼 리,"반세기 넘도록 전 세계에서 끊임없이 읽히고 사랑받는 하퍼 리의 수작!성경 다음으로 가장 영향력 있는 책으로 꼽히는 하퍼 리의 소설 『앵무새 죽이기』를 예스러운 표현을 오늘날에 맞게 다듬고 재정비한 번역과 새로운 디자인으로 만나본다. 1960년 출간 직후 미국 전역에서 선풍적인 인기를 끌면서 그 이듬해 하퍼 리에게 퓰리처상의 영예를 안겨 준 작품으로, 대한민국에서도 2003년 정식 발매 이후 독자들에게 꾸준히 읽히며 30만 부 이상의 판매를 기록했다.이 작품은 미국에서 인종차별이 가장 심했던 주 가운데 하나인 남부 앨라바마 주에서 실제로 있었던 일을 토대로 젊은 백인 여성을 성폭행했다는 누명을 쓴 한 흑인 청년을 백인 변호사가 법정에서 변호하는 이야기를 담고 있다. 소설 속 화자인 6살 소녀 스카웃의 눈으로 .."
52,53,멋진 신세계,올더스 헉슬리,"암울한 미래를 그린 현대 고전!과학이 최고도로 발달해 사회의 모든 면을 관리, 지배하고 인간의 추생과 자유까지 통제하는 미래 문명 세계를 그린 올더스 헉슬리의 『멋진 신세계』. 올더스 헉슬리가 1932년에 발표한 이 작품은 금세기에 미래를 가장 깊이 있고 날카롭게 파헤친 작품 중 하나로 평가받고 있다. 번역의 대가인 안정효의 최신 완역판으로, 오역을 최소화하고 원서의 표현에 충실히 따랐으며, 더욱 세세한 설명과 뛰어난 문학적 표현으로 고전 작품을 읽는 참된 즐거움을 선사한다.가족이라는 유대가 사라진 세계, 죽음까지도 익숙해지도록 길들이기 훈련을 받는 세상에서 인간은 최소한의 존엄성과 인간적 가치, 그리고 스스로 생각할 자유마저 박탈당한다. 이곳 사람들은 태어날 때부터 다섯 계급으로 나뉘어, 인류를 ‘맞춤형’.."
53,54,윤동주 시집,윤동주,범우문고 제19권 『윤동주 시집』. 윤동주의 여러 작품을 감상할 수 있다. 문학평론가 임헌영의 윤동주론을 시작으로 본격적으로 시를 감상할 수 있도록 구성했다. 권말에는 연보를 정리해 참고할 수 있도록 했다.
54,55,광장/구운몽,최인훈,"세대를 거쳐 거듭 읽히며 사랑받고 있는 전후 한국 문학의 새 지평을 연 기념비작!해방 후 한국 현대 문학을 대표하는 작가이자 살아 있는 지식인의 표상, 최인훈의 대표작 『광장 구운몽』. 《광장》은 해방과 전쟁, 분단으로 이어지는 한국 근현대사와 궤를 같이하는 주인공 이명준의 깊은 갈망과 고뇌를 그린 작품으로 남북 간의 이념, 체제에 대한 냉철하고도 치열한 성찰을 담고 있다. 삶의 일회성에 대한 첨예한 인식, 개인과 사회·국가 간의 긴장과 갈등, 인간의 자유와 사랑 같은 본질적인 주제에 대한 폭넓은 성찰을 담아낸 한국 현재 문학사 최고의 고전이다. 《구운몽》은 한 개인은 물론 사회 전체의 억압된 무의식을 보여준 소설이다. 실패한 혁명의 이야기이지만 여덟 겹 꿈속에서 사랑을 찾아내는 사랑의 이야기이기도 하다."
55,56,대성당,레이먼드 카버,"소설가 김연수의 번역으로 만나는 카버 문학의 정수!“의심의 여지 없이 레이먼드 카버는 나의 가장 소중한 문학적 스승이었으며, 가장 위대한 문학적 동반자였다.” _무라카미 하루키‘헤밍웨이 이후 가장 영향력 있는 소설가’ ‘리얼리즘의 대가’ ‘미국의 체호프’ 등으로 불리며 미국 현대문학의 대표작가로 꼽히는 레이먼드 카버. 1960년 첫 단편 「분노의 계절」을 발표한 이후 1988년 폐암으로 세상을 떠날 때까지 삼십 년 가까운 세월 동안 그는 소설집, 시집, 에세이 등 십여 권의 책을 펴냈다. 그러나 카버의 진면목은 무엇보다 단편소설에서 확인할 수 있으며, 그런 까닭에 전 세계 많은 젊은 소설가들이 좋아하는 작가로 주저 없이 ‘레이먼드 카.."
56,57,나는 고양이로소이다,나쓰메 소세키,"봄날 책읽고 춤추는 고양이의 하루 『나는 고양이로소이다』는 소세키가 38세라는 늦은 나이에 작가로 입신하는 계기가 된다. 소세키의 등단작이자 출세작이 된 이 소설은 처음에 단편으로 내놓은 작품이다. 하이쿠 전문잡지인 《호토토기스》는 『나는 고양이로소이다』가 당대의 삶과 사회를 생생하고 우스꽝스럽게 그려내면서 호평과 반향을 일으키자 작가에게 이 소설을 장편 분량으로 연재하도록 권유해서 1905년부터 1906년까지 총 11회를 연재하기에 이른다.이 책에는 기존 번역본에서 볼 수 없는, 『나는 고양이로소이다』 상·중·하편이 한 권 한 권 묶일 당시 소세키가 쓴 자서(自序)를 함께 넣었다.주변머리라고는 없는 고집불통 영어 선생, 이상한 거짓말쟁이 미학자, 개구리.."
57,58,나미야 잡화점의 기적,히가시노 게이고,"기적과 감동을 추리한다!히가시노 게이고의 차기 대표작으로 손꼽힐 『나미야 잡화점의 기적』『나미야 잡화점의 기적』은 2012년 3월 일본에서 출간되어 큰 화제를 불러일으킨, 우리 시대를 대표하는 작가 히가시노 게이고의 작품이다. 작가가 그동안 일관되게 추구해온 인간 내면에 잠재한 선의에 대한 믿음이 작품 전반에 깔려 있는 이번 이야기에는 그동안 히가시노 게이고 하면 떠올랐던 살인 사건이나 명탐정 캐릭터는 전혀 등장하지 않는다. 그럼에도 불구하고 마치 퍼즐을 맞추어가는 듯한 치밀한 짜임새는 과연 히가시노 게이고의 작품답게 명불허전의 짜릿한 쾌감을 선사하며 감동을 자아내 작가의 고정 독자를 충분히 매료시킨다. “여러분이라면 어떤 고민을 상담하시겠습니.."
58,59,카라마조프 가의 형제들 세트,도스토옙스키,"『카라마조프 가의 형제들』은 심오한 사상과 다양한 주제 등 내용 면에서뿐 아니라 그 분량도 방대한 편이다. 그러나 그럼에도 불구하고 극단적인 소재와 긴장감 넘치는 구성으로 인해 한번 손에 들면 끝까지 읽어 내려가게 된다. 부자간의 재산 다툼, 한 여자를 둘러싼 갈등, 결국 이런 반목에서 이어지는 친부 살해라는 다분히 선정적인 소재에, 범죄소설 혹은 추리소설 기법으로 쓰인 이 작품은 도스토예프스키의 다른 어떤 작품보다도 가독성이 높다. 여기에, 독특한 개성을 지닌 인물을 중심으로 이야기가 진행됨으로서 자극적인 사건은 보다 더 흥미롭게 전개된다. 독특한 개성과 사상을 대변하는 인물들이 빚어내는 비극적인 사건을 통해 도스토예프스키는 삶과 죽음, 사랑과 욕정 등 인간 존재의 근본 문제를 다루고.."
59,60,안나 카레니나 세트,레프 톨스토이,"19세기 러시아의 대문호 레프 톨스토이가 남긴 최고의 리얼리즘 소설. 위선, 질투, 신념, 욕망, 사랑 등 인간의 감정과 결혼, 계급, 종교 등 인간이 만들어 낸 사회 구조에 대한 톨스토이의 모든 고민이 집약된 소설이다. 동시대 작가인 도스토예프스키로부터 '완벽한 예술 작품'이라는 평가와, 러시아 출신 소설가인 나보코프로부터 '톨스토이 스타일의 정점'이라는 극찬을 받았다.스테판 공작이 가정교사와 바람을 피운 사건 때문에 부부 사이에 불황가 생기자, 그의 여동생 안나 카레니나는 이들을 화해시키기 위해 모스크바로 온다. 페테르부르크에서 고위 관리의 아내로, 한 아이의 어머니로 행복하게 살던 안나는 이곳에서 만난 브론스키 백작에게 사로잡히고 만다. 브론스키는 스테판의 처제 키티에서 구애하던 중이었으나 그 역시 안.."
60,61,셰익스피어 4대 비극 세트,윌리엄 셰익스피어,"셰익스피어의 4대 비극을 한자리에서 만나다!인간의 고통에 대한 원숙하고도 냉혹한 성찰이 담긴 셰익스피어의 비극들을 엮은 『셰익스피어 4대 비극』 세트. 존재의 비극을 탐색한 극문학의 정수를 보여주는 《햄릿》, 모든 시대를 막론하고 가장 현대적인 작품 《오셀로》, 셰익스피어 4대 비극 중 가장 화려하고 잔인한 작품 《맥베스》, 소포클레스의 ‘안티고네’와 비견되는 서구 문학의 위대한 성취 《리어왕》을 만날 수 있다. (전4권)"
61,62,죄와 벌 1,도스토옙스키,"이성의 광기 속으로 가라앉는 자폐적 청춘의 초상!러시아의 대문호 도스토예프스키의 대작 『죄와 벌』 제1권. 도스토예프스키가 8년간의 유형 생활 후 발표한 두 번째 작품으로, 인간의 내면 깊은 곳에 숨겨진 심리를 파헤치고 있다. 죄와 속죄에 대한 다양한 인식들이 서로 갈등하고 교차한다. 1860년대 후반의 페테르부르크. 지방 소도시 출신의 청년 라스콜니코프는 형편이 어려워 학업을 중단하고 ‘관’ 같은 방에 틀어박혀 자신만의 완벽한 계획을 세운다. 어느 날 저녁, 그는 머릿속으로 구상한 계획에 따라 전당포 노파의 그녀의 이복여동생을 도끼로 살해한다. 누구의 눈에도 띄지 않은 완전 범죄였지만, 예심판사는 그의 심리를 꿰뚫으며 압박해 온다. 이성과 관념만이 가득했던 라스콜니코프의 마음에는 조금씩 불안감이 싹트고, .."
62,63,죄와 벌 2,도스토옙스키,"이성의 광기 속으로 가라앉는 자폐적 청춘의 초상!러시아의 대문호 도스토예프스키의 대작 『죄와 벌』 제2권. 도스토예프스키가 8년간의 유형 생활 후 발표한 두 번째 작품으로, 인간의 내면 깊은 곳에 숨겨진 심리를 파헤치고 있다. 죄와 속죄에 대한 다양한 인식들이 서로 갈등하고 교차한다. 1860년대 후반의 페테르부르크. 지방 소도시 출신의 청년 라스콜니코프는 형편이 어려워 학업을 중단하고 ‘관’ 같은 방에 틀어박혀 자신만의 완벽한 계획을 세운다. 어느 날 저녁, 그는 머릿속으로 구상한 계획에 따라 전당포 노파의 그녀의 이복여동생을 도끼로 살해한다. 누구의 눈에도 띄지 않은 완전 범죄였지만, 예심판사는 그의 심리를 꿰뚫으며 압박해 온다. 이성과 관념만이 가득했던 라스콜니코프의 마음에는 조금씩 불안감이 싹트고, .."
63,64,예감은 틀리지 않는다,줄리언 반스,"<내 말 좀 들어봐>, <플로베르의 앵무새>의 작가 줄리언 반스의 장편소설로, 2011년 맨부커상 수상작이다. 「인디펜던트」, 「타임스」 등 영미권 주요 매체들과 평론가들은 <예감은 틀리지 않는다>를 소개하면서 기억과 윤리의 '심리 스릴러'라는 말을 썼다. 원서로 150페이지 남짓한 이 길지 않은 소설이 독자를 몰아치는 힘과 서스펜스, 섬세하고 정교한 구성력 때문이다.또한 평론가와 저널리스트들은 소설적 완성도와 비극적 테마가 주는 무게로 따질 때, 반스의 이 최신작이 비슷한 길이의 노벨라(경장편)인 헨리 제임스의 <나사의 회전>에 필적하는 작품이라고 말한다. 불완전하고 믿을 수 없는 1인칭 화자의 시점에 의존하여 인간의 기억과 시점의 왜곡을 탐색하고, 마침내 진실이.."
64,65,노인과 바다,어니스트 헤밍웨이,"노벨 문학상, 퓰리처상 수상 작가, 20세기 미국 문학을 개척한 작가 어니스트 헤밍웨이의 대표작. 미국 현대 문학의 개척자라 불리는 헤밍웨이는 제1차 세계대전 후 삶의 좌표를 잃어버린 '길 잃은 세대'를 대표하는 작가이다. '민음사 세계문학전집' 278권으로 출간된 <노인과 바다>는 헤밍웨이의 마지막 소설로, 작가 고유의 소설 수법과 실존 철학이 짧은 분량 안에 집약되어 있다. 멕시코 만류에서 홀로 고기잡이를 하는 노인 산티아고는 벌써 84일째 아무것도 잡지 못했다. 같은 마을에 사는 소년 마놀린은 평소 산티아고를 좋아해 그의 일손을 돕곤 했는데, 노인의 운이 다했다며 승선을 만류하는 부모 때문에 이번에는 그와 함께 배를 타지 못한다. 산티아고는 혼자 먼 바다까지 배를 끌고 가 낚싯줄을 내린다. .."
